countryCode,countryES,countryEN,countryFR,countryPT,institutionName,descriptionES,descriptionEN,descriptionFR,descriptionPT,logo,website,region,active
CO,Colombia,Colombia,Colombie,Colômbia,Colombia Challenge Your Knowledge (CCYK),"Colombia Challenge Your Knowledge promueve a Colombia como destino académico internacional, fortaleciendo la cooperación, la movilidad y la visibilidad de su sistema de educación superior.","Colombia Challenge Your Knowledge promotes Colombia as an international study destination, strengthening cooperation, mobility and the visibility of its higher education system.","Colombia Challenge Your Knowledge promeut la Colombie comme destination académique internationale en renforçant la coopération, la mobilité et la visibilité de son système d'enseignement supérieur.","O Colombia Challenge Your Knowledge promove a Colômbia como destino acadêmico internacional, fortalecendo a cooperação, a mobilidade e a visibilidade do seu sistema de ensino superior.",https://static.wixstatic.com/media/aa7998_6c738dcc0daa49a09c7a55e33866e179~mv2.png,,South America,TRUE
CO,Colombia,Colombia,Colombie,Colômbia,Red Colombiana para la Internacionalización de la Educación Superior (RCI),"La RCI fortalece los procesos de internacionalización de las instituciones de educación superior colombianas mediante el intercambio de experiencias, la cooperación y el desarrollo de proyectos conjuntos.","RCI strengthens the internationalization of Colombian higher education institutions through the exchange of experiences, cooperation and joint projects.","La RCI renforce l'internationalisation des établissements d'enseignement supérieur colombiens grâce à l'échange d'expériences, à la coopération et au développement de projets communs.","A RCI fortalece a internacionalização das instituições colombianas de ensino superior por meio do intercâmbio de experiências, da cooperação e do desenvolvimento de projetos conjuntos.",https://static.wixstatic.com/media/aa7998_8abdd2ce8bee4d9faffacbd77321f4a1~mv2.png,,South America,TRUE
CR,Costa Rica,Costa Rica,Costa Rica,Costa Rica,Consejo Nacional de Rectores (CONARE),"El CONARE coordina el trabajo conjunto de las universidades públicas de Costa Rica, impulsando la excelencia académica, la investigación y la cooperación nacional e internacional.","CONARE coordinates Costa Rica's public universities, promoting academic excellence, research and national and international cooperation.","Le CONARE coordonne le travail des universités publiques du Costa Rica en favorisant l'excellence académique, la recherche et la coopération nationale et internationale.","O CONARE coordena o trabalho conjunto das universidades públicas da Costa Rica, promovendo a excelência acadêmica, a pesquisa e a cooperação nacional e internacional.",https://static.wixstatic.com/media/aa7998_336fd84670c54c1e8697a0bc8900e0cf~mv2.png,,Central America,TRUE
EC,Ecuador,Ecuador,Équateur,Equador,Red Ecuatoriana para la Internacionalización de la Educación Superior (REIES),"REIES promueve la cooperación entre instituciones ecuatorianas de educación superior, fortaleciendo la internacionalización, la movilidad académica y la colaboración internacional.","REIES promotes cooperation among Ecuadorian higher education institutions, strengthening internationalization, academic mobility and international collaboration.","REIES favorise la coopération entre les établissements d'enseignement supérieur équatoriens en renforçant l'internationalisation, la mobilité académique et la collaboration internationale.","A REIES promove a cooperação entre instituições equatorianas de ensino superior, fortalecendo a internacionalização, a mobilidade acadêmica e a colaboração internacional.",https://static.wixstatic.com/media/aa7998_b9dba9fced844116abd2e2eac5784872~mv2.png,,South America,TRUE
US,Estados Unidos,United States,États-Unis,Estados Unidos,American Association of State Colleges and Universities (AASCU),"La AASCU representa a universidades públicas de Estados Unidos comprometidas con la excelencia académica, el acceso a la educación superior y el desarrollo de sus comunidades.","AASCU represents U.S. public universities committed to academic excellence, access to higher education and community development.","L'AASCU représente les universités publiques des États-Unis engagées envers l'excellence académique, l'accès à l'enseignement supérieur et le développement des communautés.","A AASCU representa universidades públicas dos Estados Unidos comprometidas com a excelência acadêmica, o acesso ao ensino superior e o desenvolvimento de suas comunidades.",https://static.wixstatic.com/media/aa7998_e56d05ef8a234e5ba2bcb48675ccca04~mv2.png,,North America,TRUE
US,Estados Unidos,United States,États-Unis,Estados Unidos,Association of International Education Administrators (AIEA),"La AIEA reúne a líderes de educación superior responsables de la internacionalización institucional, promoviendo el desarrollo profesional, el intercambio de buenas prácticas y la cooperación internacional.","AIEA brings together higher education leaders responsible for institutional internationalization, promoting professional development, the exchange of best practices and international cooperation.","L'AIEA réunit les responsables de l'internationalisation des établissements d'enseignement supérieur afin de promouvoir le développement professionnel, l'échange de bonnes pratiques et la coopération internationale.","A AIEA reúne líderes do ensino superior responsáveis pela internacionalização institucional, promovendo o desenvolvimento profissional, o intercâmbio de boas práticas e a cooperação internacional.",https://static.wixstatic.com/media/aa7998_3109a6b86b1046e692e7f6f9f6777e48~mv2.png,,North America,TRUE
US,Estados Unidos,United States,États-Unis,Estados Unidos,Community Colleges for International Development (CCID),"CCID es una red internacional de community colleges e instituciones técnicas dedicada a fortalecer la educación global, la movilidad académica y las alianzas internacionales.","CCID is an international network of community colleges and technical institutions dedicated to strengthening global education, academic mobility and international partnerships.","Le CCID est un réseau international de community colleges et d'établissements techniques consacré au renforcement de l'éducation mondiale, de la mobilité académique et des partenariats internationaux.","O CCID é uma rede internacional de community colleges e instituições técnicas dedicada ao fortalecimento da educação global, da mobilidade acadêmica e das parcerias internacionais.",https://static.wixstatic.com/media/aa7998_7c2fe6d3687a40138ff9d1cf771a047e~mv2.png,,North America,TRUE
US,Estados Unidos,United States,États-Unis,Estados Unidos,Institute of International Education (IIE),"El IIE es una organización internacional sin fines de lucro que impulsa la cooperación académica, la movilidad internacional, el desarrollo del liderazgo y el intercambio educativo a nivel mundial.","IIE is a nonprofit international organization that advances academic cooperation, international mobility, leadership development and global educational exchange.","L'IIE est une organisation internationale à but non lucratif qui favorise la coopération académique, la mobilité internationale, le développement du leadership et les échanges éducatifs à l'échelle mondiale.","O IIE é uma organização internacional sem fins lucrativos que promove a cooperação acadêmica, a mobilidade internacional, o desenvolvimento da liderança e o intercâmbio educacional em nível mundial.",https://static.wixstatic.com/media/aa7998_61615a9b32e94bf083bbfe61bd5e6231~mv2.png,,North America,TRUE
US,Estados Unidos,United States,États-Unis,Estados Unidos,The Forum on Education Abroad,"Organización reconocida por establecer estándares de calidad y buenas prácticas para los programas de educación en el extranjero, promoviendo experiencias internacionales seguras y de alto impacto.","Recognized organization that establishes quality standards and best practices for education abroad programs, promoting safe and high-impact international experiences.","Organisation reconnue pour établir des normes de qualité et de bonnes pratiques pour les programmes d'études à l'étranger, favorisant des expériences internationales sûres et à fort impact.","Organização reconhecida por estabelecer padrões de qualidade e boas práticas para programas de educação no exterior, promovendo experiências internacionais seguras e de alto impacto.",https://static.wixstatic.com/media/aa7998_3d7302fa745b43e485d25f3475c0adeb~mv2.png,,North America,TRUE
GT,Guatemala,Guatemala,Guatemala,Guatemala,Consejo Superior Universitario Centroamericano (CSUCA),"El CSUCA integra a las universidades públicas de Centroamérica, promoviendo la cooperación regional, la investigación, la innovación y el fortalecimiento de la educación superior.","CSUCA brings together Central America's public universities, promoting regional cooperation, research, innovation and stronger higher education.","Le CSUCA regroupe les universités publiques d'Amérique centrale afin de promouvoir la coopération régionale, la recherche, l'innovation et le renforcement de l'enseignement supérieur.","O CSUCA integra as universidades públicas da América Central, promovendo a cooperação regional, a pesquisa, a inovação e o fortalecimento do ensino superior.",https://static.wixstatic.com/media/aa7998_ab2e57487f7442bf92bc2164f5a3e25a~mv2.png,,Central America,TRUE
INT,Internacional,International,International,Internacional,Agence Universitaire de la Francophonie (AUF),"La AUF es una red internacional que reúne instituciones de educación superior e investigación de habla francesa, impulsando la cooperación académica, la innovación y el desarrollo sostenible.","AUF is an international network of French-speaking higher education and research institutions that promotes academic cooperation, innovation and sustainable development.","L'AUF est un réseau international d'établissements d'enseignement supérieur et de recherche francophones qui favorise la coopération académique, l'innovation et le développement durable.","A AUF é uma rede internacional de instituições francófonas de ensino superior e pesquisa que promove a cooperação acadêmica, a inovação e o desenvolvimento sustentável.",https://static.wixstatic.com/media/aa7998_79c9810324de4ee0b3bfc7c0da8e92d9~mv2.png,,International,TRUE
INT,Internacional,International,International,Internacional,Consortium for North American Higher Education Collaboration (CONAHEC),"CONAHEC fortalece la colaboración entre instituciones de educación superior de América del Norte y otras regiones mediante programas de movilidad, investigación y alianzas estratégicas.","CONAHEC strengthens collaboration among higher education institutions in North America and other regions through mobility programs, research and strategic partnerships.","Le CONAHEC renforce la collaboration entre les établissements d'enseignement supérieur d'Amérique du Nord et d'autres régions grâce à des programmes de mobilité, de recherche et à des partenariats stratégiques.","O CONAHEC fortalece a colaboração entre instituições de ensino superior da América do Norte e de outras regiões por meio de programas de mobilidade, pesquisa e parcerias estratégicas.",https://static.wixstatic.com/media/aa7998_106b9a1437b948f99336729729a7e6c1~mv2.png,,International,TRUE
JM,Jamaica,Jamaica,Jamaïque,Jamaica,Universities Caribbean,"Universities Caribbean es una red regional que impulsa la cooperación entre instituciones de educación superior del Caribe, promoviendo la calidad académica, la investigación y la internacionalización.","Universities Caribbean is a regional network that promotes cooperation among Caribbean higher education institutions, fostering academic quality, research and internationalization.","Universities Caribbean est un réseau régional qui favorise la coopération entre les établissements d'enseignement supérieur des Caraïbes, la qualité académique, la recherche et l'internationalisation.","A Universities Caribbean é uma rede regional que promove a cooperação entre instituições de ensino superior do Caribe, incentivando a qualidade acadêmica, a pesquisa e a internacionalização.",https://static.wixstatic.com/media/aa7998_133f87c6406d45d68884a9f59e599d3b~mv2.png,,Caribbean,TRUE
MX,México,Mexico,Mexique,México,Asociación Mexicana para la Educación Internacional (AMPEI),"AMPEI promueve la internacionalización de la educación superior en México mediante el desarrollo profesional, la cooperación institucional y el intercambio de buenas prácticas entre sus miembros.","AMPEI promotes the internationalization of higher education in Mexico through professional development, institutional cooperation and the exchange of best practices among its members.","L'AMPEI promeut l'internationalisation de l'enseignement supérieur au Mexique grâce au développement professionnel, à la coopération institutionnelle et à l'échange de bonnes pratiques entre ses membres.","A AMPEI promove a internacionalização do ensino superior no México por meio do desenvolvimento profissional, da cooperação institucional e do intercâmbio de boas práticas entre seus membros.",https://static.wixstatic.com/media/aa7998_650292026e45477793360cdc8d9f3c7f~mv2.png,,North America,TRUE
MX,México,Mexico,Mexique,México,Asociación Nacional de Universidades e Instituciones de Educación Superior (ANUIES),"La ANUIES reúne a las principales instituciones de educación superior de México para fortalecer la calidad académica, la investigación, la innovación y la cooperación nacional e internacional.","ANUIES brings together Mexico's leading higher education institutions to strengthen academic quality, research, innovation and national and international cooperation.","L'ANUIES réunit les principaux établissements d'enseignement supérieur du Mexique afin de renforcer la qualité académique, la recherche, l'innovation et la coopération nationale et internationale.","A ANUIES reúne as principais instituições de ensino superior do México para fortalecer a qualidade acadêmica, a pesquisa, a inovação e a cooperação nacional e internacional.",https://static.wixstatic.com/media/aa7998_b84d8eecfde74210adc1cca515c6d1a5~mv2.png,,North America,TRUE
MX,México,Mexico,Mexique,México,Asociación Nacional de Universidades Tecnológicas (ANUT),"La ANUT agrupa a las universidades tecnológicas de México, promoviendo la formación profesional, la innovación educativa y la vinculación con los sectores productivos y sociales.","ANUT brings together Mexico's technological universities, promoting professional training, educational innovation and collaboration with productive and social sectors.","L'ANUT regroupe les universités technologiques du Mexique et promeut la formation professionnelle, l'innovation pédagogique et la collaboration avec les secteurs productifs et sociaux.","A ANUT reúne as universidades tecnológicas do México, promovendo a formação profissional, a inovação educacional e a integração com os setores produtivos e sociais.",https://static.wixstatic.com/media/aa7998_2be45b8340fa402689e29dc86baae74e~mv2.png,,North America,TRUE
MX,México,Mexico,Mexique,México,Federación de Instituciones Mexicanas Particulares de Educación Superior (FIMPES),"FIMPES reúne a instituciones privadas de educación superior en México comprometidas con la excelencia académica, la mejora continua y el fortalecimiento de la calidad educativa.","FIMPES brings together private higher education institutions in Mexico committed to academic excellence, continuous improvement and educational quality.","La FIMPES regroupe les établissements privés d'enseignement supérieur du Mexique engagés envers l'excellence académique, l'amélioration continue et la qualité de l'enseignement.","A FIMPES reúne instituições privadas de ensino superior do México comprometidas com a excelência acadêmica, a melhoria contínua e a qualidade da educação.",https://static.wixstatic.com/media/aa7998_ee7df58d2cf44b31949f1f8077e10db8~mv2.png,,North America,TRUE
PA,Panamá,Panama,Panama,Panamá,Asociación de Universidades Particulares de Panamá (AUPPA),"La AUPPA representa a las universidades particulares de Panamá, promoviendo la cooperación entre sus miembros y contribuyendo al fortalecimiento de la educación superior del país.","AUPPA represents Panama's private universities, promoting cooperation among its members and contributing to the strengthening of higher education.",L'AUPPA représente les universités privées du Panama et favorise la coopération entre ses membres ainsi que le renforcement de l'enseignement supérieur.,"A AUPPA representa as universidades particulares do Panamá, promovendo a cooperação entre seus membros e contribuindo para o fortalecimento do ensino superior.",https://static.wixstatic.com/media/aa7998_a65453074dd443468772e3e558f564e4~mv2.png,,Central America,TRUE
PA,Panamá,Panama,Panama,Panamá,Consejo de Rectores de Panamá (CRP),"El Consejo de Rectores de Panamá reúne a las instituciones de educación superior del país para fomentar la colaboración, la calidad académica y el desarrollo del sistema universitario panameño.","The Council of Rectors of Panama brings together the country's higher education institutions to promote collaboration, academic quality and the development of Panama's university system.","Le Conseil des recteurs du Panama réunit les établissements d'enseignement supérieur du pays afin de promouvoir la collaboration, la qualité académique et le développement du système universitaire panaméen.","O Conselho de Reitores do Panamá reúne as instituições de ensino superior do país para promover a colaboração, a qualidade acadêmica e o desenvolvimento do sistema universitário panamenho.",https://static.wixstatic.com/media/aa7998_427a70b854e0484ab94425693d722f01~mv2.png,,Central America,TRUE
PY,Paraguay,Paraguay,Paraguay,Paraguai,Asociación de Universidades Privadas del Paraguay (APUP),"La APUP representa a las universidades privadas de Paraguay, impulsando la cooperación institucional, la calidad educativa y el fortalecimiento de la educación superior.","APUP represents Paraguay's private universities, promoting institutional cooperation, educational quality and the strengthening of higher education.","L'APUP représente les universités privées du Paraguay et favorise la coopération institutionnelle, la qualité de l'enseignement et le renforcement de l'enseignement supérieur.","A APUP representa as universidades privadas do Paraguai, promovendo a cooperação institucional, a qualidade educacional e o fortalecimento do ensino superior.",https://static.wixstatic.com/media/aa7998_4c4f09f5e47247629a62336bf90dbf80~mv2.png,,South America,TRUE
PE,Perú,Peru,Pérou,Peru,Asociación de Universidades del Perú (ASUP),"La ASUP promueve la colaboración entre universidades peruanas, fortaleciendo la calidad académica, la investigación, la innovación y la internacionalización de la educación superior.","ASUP promotes collaboration among Peruvian universities, strengthening academic quality, research, innovation and the internationalization of higher education.","L'ASUP favorise la collaboration entre les universités péruviennes en renforçant la qualité académique, la recherche, l'innovation et l'internationalisation de l'enseignement supérieur.","A ASUP promove a colaboração entre universidades peruanas, fortalecendo a qualidade acadêmica, a pesquisa, a inovação e a internacionalização do ensino superior.",https://static.wixstatic.com/media/aa7998_191bce22626246b2b1c42c41b9b11b79~mv2.png,,South America,TRUE
PE,Perú,Peru,Pérou,Peru,Consejo Latinoamericano de Escuelas de Administración (CLADEA),"CLADEA es una red internacional de escuelas de negocios e instituciones de educación superior que impulsa la excelencia académica, la investigación y la cooperación en administración y gestión.","CLADEA is an international network of business schools and higher education institutions that promotes academic excellence, research and cooperation in management and administration.","CLADEA est un réseau international d'écoles de commerce et d'établissements d'enseignement supérieur qui favorise l'excellence académique, la recherche et la coopération en gestion et administration.","A CLADEA é uma rede internacional de escolas de negócios e instituições de ensino superior que promove a excelência acadêmica, a pesquisa e a cooperação em administração e gestão.",https://static.wixstatic.com/media/aa7998_1f08471555bb4c9a80c51348c57f4fd8~mv2.png,,South America,TRUE
PE,Perú,Peru,Pérou,Peru,Red Peruana para la Internacionalización de la Educación Superior (REDIPERÚ),"REDIPERÚ fortalece la internacionalización de las instituciones de educación superior peruanas mediante el intercambio de experiencias, la cooperación académica y el desarrollo de iniciativas conjuntas.","REDIPERÚ strengthens the internationalization of Peruvian higher education institutions through the exchange of experiences, academic cooperation and joint initiatives.","REDIPERÚ renforce l'internationalisation des établissements d'enseignement supérieur péruviens grâce à l'échange d'expériences, à la coopération académique et au développement d'initiatives communes.","A REDIPERÚ fortalece a internacionalização das instituições peruanas de ensino superior por meio do intercâmbio de experiências, da cooperação acadêmica e do desenvolvimento de iniciativas conjuntas.",https://static.wixstatic.com/media/aa7998_a08b944e86014917b3646036ec5bbbf8~mv2.png,,South America,TRUE
PR,Puerto Rico,Puerto Rico,Porto Rico,Porto Rico,Asociación de Colegios y Universidades Privadas de Puerto Rico (ACUP),"La ACUP representa a las instituciones privadas de educación superior de Puerto Rico, promoviendo la calidad educativa, la cooperación institucional y el desarrollo del sector universitario.","ACUP represents Puerto Rico's private higher education institutions, promoting educational quality, institutional cooperation and the development of the university sector.","L'ACUP représente les établissements privés d'enseignement supérieur de Porto Rico et favorise la qualité de l'enseignement, la coopération institutionnelle et le développement du secteur universitaire.","A ACUP representa as instituições privadas de ensino superior de Porto Rico, promovendo a qualidade educacional, a cooperação institucional e o desenvolvimento do setor universitário.",https://static.wixstatic.com/media/aa7998_c770f678db94442881013e23070ffb3e~mv2.png,,Caribbean,TRUE
PR,Puerto Rico,Puerto Rico,Porto Rico,Porto Rico,CAMPUS Puerto Rico,"CAMPUS Puerto Rico promueve a Puerto Rico como destino académico internacional, fortaleciendo la colaboración entre instituciones de educación superior y fomentando oportunidades de intercambio, investigación y cooperación internacional.","CAMPUS Puerto Rico promotes Puerto Rico as an international study destination, strengthening collaboration among higher education institutions and fostering opportunities for exchange, research and international cooperation.","CAMPUS Puerto Rico promeut Porto Rico comme destination académique internationale en renforçant la collaboration entre les établissements d'enseignement supérieur et en favorisant les possibilités d'échanges, de recherche et de coopération internationale.","O CAMPUS Puerto Rico promove Porto Rico como destino acadêmico internacional, fortalecendo a colaboração entre instituições de ensino superior e promovendo oportunidades de intercâmbio, pesquisa e cooperação internacional.",https://static.wixstatic.com/media/aa7998_149779a8e3d24bbf87e7584aa9f7ffac~mv2.png,,Caribbean,TRUE
DO,República Dominicana,Dominican Republic,République dominicaine,República Dominicana,Asociación Dominicana de Rectores de Universidades (ADRU),"La Asociación Dominicana de Rectores de Universidades reúne a las principales instituciones de educación superior de la República Dominicana para promover la excelencia académica, fortalecer la cooperación interinstitucional e impulsar la internacionalización del sistema universitario.","ADRU brings together the leading higher education institutions of the Dominican Republic to promote academic excellence, strengthen interinstitutional cooperation and advance the internationalization of the university system.","L'ADRU réunit les principaux établissements d'enseignement supérieur de la République dominicaine afin de promouvoir l'excellence académique, de renforcer la coopération interinstitutionnelle et de favoriser l'internationalisation du système universitaire.","A ADRU reúne as principais instituições de ensino superior da República Dominicana para promover a excelência acadêmica, fortalecer a cooperação interinstitucional e impulsionar a internacionalização do sistema universitário.",https://static.wixstatic.com/media/aa7998_a175f4ab667e487995f471d97711bbc7~mv2.png,,Caribbean,TRUE
CA,Canadá,Canada,Canada,Canadá,Bureau de coopération interuniversitaire,"El Bureau de coopération interuniversitaire (BCI) reúne a establecimientos universitarios de Quebec y fomenta la cooperación, la colaboración académica y el desarrollo de iniciativas conjuntas en educación superior.","The Bureau de coopération interuniversitaire (BCI) brings together Quebec university institutions and promotes cooperation, academic collaboration and the development of joint initiatives in higher education.","Le Bureau de coopération interuniversitaire (BCI) regroupe des établissements universitaires québécois et favorise la coopération, la collaboration académique et le développement d’initiatives conjointes en enseignement supérieur.","O Bureau de coopération interuniversitaire (BCI) reúne instituições universitárias do Quebec e promove a cooperação, a colaboração acadêmica e o desenvolvimento de iniciativas conjuntas no ensino superior.",,,North America,TRUE
US,Estados Unidos,United States,États-Unis,Estados Unidos,American Council on Education (ACE),El American Council on Education (ACE) es una organización de educación superior de Estados Unidos que representa a instituciones y líderes del sector y promueve políticas e iniciativas para fortalecer la educación superior.,The American Council on Education (ACE) is a U.S. higher education organization representing institutions and sector leaders and advancing policies and initiatives to strengthen higher education.,L’American Council on Education (ACE) est une organisation américaine d’enseignement supérieur qui représente des établissements et des dirigeants du secteur et fait progresser des politiques et des initiatives visant à renforcer l’enseignement supérieur.,O American Council on Education (ACE) é uma organização de ensino superior dos Estados Unidos que representa instituições e líderes do setor e promove políticas e iniciativas para fortalecer o ensino superior.,,,North America,TRUE
US,Estados Unidos,United States,États-Unis,Estados Unidos,Association of American Universities (AAU),"La Association of American Universities (AAU) reúne a destacadas universidades de investigación y promueve la investigación, la innovación y la educación superior.","The Association of American Universities (AAU) brings together leading research universities and advances research, innovation and higher education.","L’Association of American Universities (AAU) regroupe de grandes universités de recherche et favorise la recherche, l’innovation et l’enseignement supérieur.","A Association of American Universities (AAU) reúne importantes universidades de pesquisa e promove a pesquisa, a inovação e o ensino superior.",,,North America,TRUE
